slang;normal
thks,terima kasih
thl,tanggal
thn,tahun
thx,terima kasih
Tilpun,Telepon
tks,terima kasih
tlfn,telepon
tlg,tolong
tlp,telepon
tlpn,telpon
tmn,teman
tmpt,tempat 
tng,tentang
tnpa,tanpa
tokped,tokopedia
tp,tetapi
tpi,tapi
tq,terima kasih
Tradisionil,Tradisional
Trampil,Terampil
traveokanya,travelokanya
trf,transfer
trgantung,tergantung
trima,terima
trimakasih,terima kasih
trims,terima kasih
trm ksh,terima kasih
Trmn ksh,terima kasih
trms,terima kasih
trnsksi,transaksi
trnyt,ternyata
Trotoir,Trotoar
trs,terus
trs,terus
trsbt,tersebut
trus,terus
trus,terus
trus,terus
trus,terus
trus,terus
tsb,tersebut
ttep,tetap
ttg,tentang
ttg,tentang
ttokonya,tokonya
ttp,tetap
tuket,tiket
twma,tema
uantuk,untuk
Uchul,Lucu
ud,sudah
uda,sudah
uda ,sudah
udah,sudah
udah,sudah
udh,sudah
udha,sudah
ujan,hujan
Ujud,Wujud
ungulan,unggulan
untk,untuk
untk,untuk
utk,untuk
Varitas,Varietas
w,saya
W,saya
Wad,Buat
wakti,waktu
Wasallam,Wasalam
Wat,Buat
wkt,waktu
wrna,warna
x,sangat
y,ya
yaudh,yasudah
Yg,Yang
yg,yang
Yukz,Yuk
Yupz,Ya
Yuqz,Yuk
Zone,Zona
enteng ,ringan
prosessor,prosesor
sendir,sendiri
har,hari
sinya,sinyal
esainnya,desainnya
tida,tidak
segini ,sejumlah ini
dipercepa,dipercepat
ngeheng,hang
kudu,harus
ajuin,mengajukan
pengirimam,pengiriman
saaaaaaangaaat,sangat
